ref_ID,Category,Product/System,Production/Process Method,Brief Description
1,Agriculture,Vertical Farming,Hydroponics,Growing plants in nutrient-rich water without soil
2,Agriculture,Vertical Farming,Aeroponics,Growing plants with roots suspended in air mist
3,Agriculture,Vertical Farming,Aquaponics,Integrated system with fish and plant production
4,Agriculture,Alternative Proteins,Precision Fermentation,Using microorganisms to produce specific proteins
5,Agriculture,Alternative Proteins,Cultured Meat,Growing animal cells in bioreactors
6,Agriculture,Alternative Proteins,Plant-Based Proteins,Processing plants to mimic animal products
7,Agriculture,Controlled Environment Agriculture,Greenhouse Systems,Temperature and climate-controlled growing
8,Agriculture,Controlled Environment Agriculture,Indoor Growing Facilities,Fully artificial environment for crops
9,Agriculture,Synthetic Fertilizer,Ammonia-Based (Haber-Bosch),Traditional nitrogen fertilizer production
10,Agriculture,Synthetic Fertilizer,Green Ammonia-Based,Using renewable hydrogen for ammonia production
11,Agriculture,Synthetic Fertilizer,Organic Fertilizer Processing,Converting biological materials to fertilizers
12,Agriculture,Precision Agriculture,Drone-Based Systems,Aerial monitoring and targeted application
13,Agriculture,Precision Agriculture,Sensor Networks,Distributed monitoring systems for farm data
14,Agriculture,Precision Agriculture,Robotic Systems,"Automated planting, maintenance, and harvesting"
15,Alcohol,Methanol,Natural Gas Reforming + Synthesis,"Syngas is generated from methane, then catalytically converted to methanol."
16,Alcohol,Methanol,Coal Gasification + Synthesis,Coal is gasified into syngas; methanol is then synthesized over a catalyst.
17,Alcohol/Intermediate,Ethanol (Industrial),Hydration of Ethylene,Ethylene is reacted with steam over an acid catalyst to produce ethanol.
18,Alcohol/Intermediate,Ethanol (Industrial),Fermentation (Bioethanol),Sugars or starch are fermented by yeast to produce ethanol; then distilled.
19,Basic Inorganic,Sodium Hydroxide,Membrane Cell (Chlor-alkali),Uses a selective membrane to separate catholyte and anolyte compartments for caustic soda production.
20,Basic Inorganic,Sulfuric Acid,Burning Elemental Sulfur + Contact Process,"Sulfur is burned to form SO₂, which is catalytically converted to SO₃ and absorbed in water to produce H₂SO₄."
21,Basic Inorganic,Sulfuric Acid,"Smelter Off-Gas (e.g., Pyrite Roasting) + Contact Process","SO₂-containing off-gases from metal smelting are treated similarly, forming sulfuric acid via the contact process."
22,Basic Inorganic,Hydrochloric Acid,Hydrogen + Chlorine Direct Synthesis,"Direct reaction of H₂ and Cl₂ in a burner to produce HCl gas, which is then absorbed in water."
23,Basic Inorganic,Hydrochloric Acid,"Byproduct from Chlorination (e.g., PVC production)","HCl is generated as a co-product in many organochlorine syntheses (e.g., vinyl chloride)."
24,Basic Inorganic,Ammonia,Steam Methane Reforming + Haber-Bosch,"Natural gas is reformed to produce H₂, then combined with N₂ under high pressure/temperature to form NH₃ (Haber-Bosch)."
25,Basic Inorganic,Ammonia,Partial Oxidation (Coal/Heavy Oil) + Haber-Bosch,"Coal or oil is partially oxidized for syngas, then used in the Haber-Bosch process to form ammonia."
26,Basic Inorganic,Chlorine,Diaphragm Cell (Chlor-alkali),"Brine electrolysis in a diaphragm cell yields chlorine, hydrogen, and sodium hydroxide."
27,Basic Inorganic,Chlorine,Membrane Cell (Chlor-alkali),"Similar to the diaphragm process but uses an ion-exchange membrane, providing higher purity and efficiency."
28,Basic Inorganic,Sodium Hydroxide,Diaphragm Cell (Chlor-alkali),Produced alongside chlorine and hydrogen; brine passes through a porous diaphragm.
29,Biofuel,Bioethanol,"Sugar/Starch Fermentation (Corn, Sugarcane)",Carbohydrates are fermented by yeast; ethanol is distilled and dehydrated for fuel.
30,Biofuel,Bioethanol,Cellulosic Biomass (Enzymatic Hydrolysis),"Lignocellulosic feedstock is pretreated, enzymatically hydrolyzed, fermented, and distilled."
31,Biofuel,Biodiesel,Transesterification of Vegetable Oils/Animal Fats,Triglycerides are reacted with an alcohol (methanol) in presence of a catalyst to form fatty acid methyl esters.
32,Biofuel,Biodiesel,Waste Cooking Oil Transesterification,"Same chemistry, but feedstock is used cooking oil."
33,Biofuel,Renewable Diesel,Hydrotreating Vegetable Oils/Fats (HVO),"In a refinery-like process, oils/fats are treated with hydrogen to produce drop-in diesel."
34,Biofuel,Renewable Diesel,Standalone Hydroprocessing Unit for Biobased Feedstocks,Dedicated units that convert renewable lipids to diesel-range hydrocarbons.
35,Biofuel,Biogas,Anaerobic Digestion (Municipal/Ag Waste),"Organic waste is digested by microbes in the absence of oxygen, generating methane-rich biogas."
36,Biofuel,Biogas,Landfill Gas Recovery,Capturing and cleaning naturally produced landfill gas.
37,Biofuel,Biojet Fuel,HEFA (Hydroprocessed Esters & Fatty Acids),"Similar to HVO, but tailored to produce jet-range hydrocarbons."
38,Biofuel,Biojet Fuel,Fischer-Tropsch Synthesis (Biomass-derived Syngas),"Biomass is gasified, converted to liquid hydrocarbons via FT synthesis, then refined into jet fuel."
39,Biological,Industrial Enzymes,Submerged Fermentation,Production in liquid culture
40,Biological,Industrial Enzymes,Solid State Fermentation,Production on solid substrates
41,Biological,Industrial Enzymes,Recombinant Protein Expression,Genetic engineering for enzyme production
42,Biological,Bioremediation,In-Situ Bioremediation,Treating contaminants in place with microbes
43,Biological,Bioremediation,Ex-Situ Bioremediation,Removing and treating contaminated material
44,Biological,Bioremediation,Phytoremediation,Using plants to extract or stabilize contaminants
45,Biological,Biorefineries,Lignocellulosic Processing,Breaking down plant biomass to valuable products
46,Biological,Biorefineries,Algal Biorefinery,"Processing algae for fuels, chemicals, and materials"
47,Biological,Biorefineries,Waste-to-Value Platforms,Converting waste streams to valuable products
48,Biological,Fermentation,Batch Fermentation,Closed system with complete cycle
49,Biological,Fermentation,Continuous Fermentation,Open system with ongoing input/output
50,Biological,Fermentation,Fed-Batch Fermentation,Hybrid approach with feeding during process
51,CCUS,Post-Combustion Capture,Amine Scrubbing,Absorption of CO₂ using amine solutions
52,CCUS,Post-Combustion Capture,Membrane Separation,Selective membranes for CO₂ separation
53,CCUS,Post-Combustion Capture,Calcium Looping,Using calcium oxide to capture CO₂
54,CCUS,Pre-Combustion Capture,Integrated Gasification Combined Cycle,Capturing CO₂ from syngas before combustion
55,CCUS,Pre-Combustion Capture,Sorption-Enhanced Water-Gas Shift,Combining CO₂ capture with water-gas shift
56,CCUS,Oxy-Fuel Combustion,Cryogenic Air Separation,Producing oxygen for more concentrated CO₂ streams
57,CCUS,Oxy-Fuel Combustion,Chemical Looping Combustion,Using metal oxides as oxygen carriers
58,CCUS,Direct Air Capture,Solid Sorbent Systems,Using solid materials to extract CO₂ from air
59,CCUS,Direct Air Capture,Liquid Solvent Systems,Using liquid solutions to extract CO₂ from air
60,CCUS,Carbon Utilization,CO₂ to Fuels,"Catalytic conversion to methanol, syngas, etc."
61,CCUS,Carbon Utilization,CO₂ to Chemicals,"Production of carbonates, polymers, etc."
62,CCUS,Carbon Utilization,CO₂ to Building Materials,Mineral carbonation for construction products
63,CCUS,Carbon Storage,Saline Aquifer Storage,Injection into deep saline formations
64,CCUS,Carbon Storage,Depleted Oil/Gas Reservoir Storage,Injection into former hydrocarbon reservoirs
65,CCUS,Carbon Storage,Enhanced Oil Recovery,Using CO₂ for increased oil production while storing CO₂
66,CCUS,Carbon Storage,Mineral Carbonation,Reaction with minerals to form stable carbonates
67,Chemical Intermediate,Propylene Oxide,Chlorohydrin Process (Older),"Propylene is converted to chlorohydrin, then dehydrochlorinated to yield PO."
68,Chemical Intermediate,Propylene Oxide,PO/SM or PO/TA Co-production,Propylene oxide produced alongside styrene monomer or tert-butanol for better economics.
69,Chemical Intermediate,Styrene,Dehydrogenation of Ethylbenzene,Ethylbenzene is catalytically dehydrogenated to styrene + hydrogen.
70,Chemical Intermediate,Styrene,Ethylbenzene Hydroperoxidation (Rare),"Oxidation of ethylbenzene to hydroperoxide, then cleaved to styrene + phenol."
71,Chemical Intermediate,Phenol,Cumene Process (Cumene Oxidation),"Isopropylbenzene (cumene) is oxidized to cumene hydroperoxide, then cleaved to phenol + acetone."
72,Chemical Intermediate,Phenol,Raschig–Hooker Process (Older),Benzene sulfonation and fusion steps; largely replaced by cumene route.
73,Chemical Intermediate,Ethylene Oxide,Direct Oxidation of Ethylene (Silver Catalyst),Ethylene reacts with oxygen over a silver catalyst to form ethylene oxide.
74,Chemical Intermediate,Ethylene Oxide,Chlorohydrin Process (Largely Phased Out),"Older route via ethylene chlorohydrin intermediate, then alkaline dehydrochlorination."
75,Chemical Intermediate,Aniline,Nitration of Benzene to Nitrobenzene + Hydrogenation,Nitrobenzene is catalytically hydrogenated to aniline.
76,Chemical Intermediate,Aniline,Phenol Ammonolysis (Less Common),Phenol reacts with ammonia in vapor phase over catalysts; lower yield.
77,Chemical/Material,Carbon Black,Furnace Black Process,Incomplete combustion of heavy hydrocarbons in a furnace to form carbon black.
78,Chemical/Material,Carbon Black,Channel Black Process,Historic method using small gas flames; less common now.
79,Chemicals,Ammonia,Haber-Bosch Process,Catalytic reaction of hydrogen and nitrogen at high pressure and temperature
80,Chemicals,Propylene,Steam Cracking,Thermal cracking of hydrocarbons with steam
81,Chemicals,Propylene,Propane Dehydrogenation (PDH),Catalytic dehydrogenation of propane
82,Chemicals,Propylene,Fluid Catalytic Cracking (FCC),Conversion of heavy petroleum fractions to lighter products
83,Chemicals,Methanol,Syngas Conversion,Catalytic conversion of synthesis gas (CO + H₂)
84,Chemicals,Methanol,Direct Methane Oxidation,Partial oxidation of methane
85,Chemicals,Methanol,Biomass Gasification,Gasification of biomass followed by methanol synthesis
86,Chemicals,Chlorine,Chlor-Alkali Process (Mercury),Electrolysis using mercury cells (being phased out)
